code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
MRVL,Marvell Technology,leader,Semiconductors,半導体,1.490,-0.00,306296316,205532578,0.418,0.756,-0.338,210.5,+17.73
SLS,"SELLAS Life Sciences Group, Inc",hot,,不明,1.472,0.16,4936024,3352358,0.007,0.011,-0.004,11.7,+13.37
IBM,IBM,core,IT Consulting & Other Services,情報技術,1.471,0.08,117090457,79592795,0.160,0.272,-0.112,233.4,+5.04
QCOM,Qualcomm,leader,Semiconductors,半導体,1.431,0.14,155887708,108973259,0.213,0.346,-0.133,160.4,-3.36
SNDK,Sandisk,leader,"Technology Hardware, Storage & Peripherals",情報技術,1.427,-0.09,1551687031,1087635962,2.119,4.192,-2.074,1259.3,+8.01
INFQ,"Infleqtion, Inc.",hot,,不明,1.419,0.06,5934576,4181835,0.008,0.014,-0.006,11.1,+19.94
OPEN,Opendoor Technologies Inc,hot,,不明,1.401,0.23,12774404,9115688,0.017,0.027,-0.010,3.4,-9.38
AAPL,Apple Inc.,leader,"Technology Hardware, Storage & Peripherals",情報技術,1.311,-0.07,1186363361,904711756,1.620,3.131,-1.511,312.5,-8.41
TSLA,"Tesla, Inc.",leader,Automobile Manufacturers,一般消費財,1.305,0.09,780389061,597955832,1.066,1.826,-0.761,319.6,+4.62
META,Meta Platforms,leader,Interactive Media & Services,コミュニケーション・サービス,1.301,-0.12,681280256,523809852,0.930,1.901,-0.971,589.8,-1.30
SOFI,"SoFi Technologies, Inc.",hot,,不明,1.281,0.01,101626601,79321306,0.139,0.248,-0.109,18.1,+9.23
ATAI,AtaiBeckley Inc.,hot,,不明,1.229,-0.30,4239517,3449931,0.006,0.015,-0.010,7.2,+0.28
JBLU,JetBlue Airways Corporation,hot,,不明,1.225,-0.24,16745085,13670304,0.023,0.050,-0.027,6.2,+12.45
AMZN,Amazon,leader,Broadline Retail,一般消費財,1.216,-0.24,826640643,679768547,1.129,2.781,-1.653,272.2,+17.34
AMD,Advanced Micro Devices,leader,Semiconductors,半導体,1.209,-0.17,923890398,764335895,1.261,2.694,-1.432,489.7,+4.41
STX,Seagate Technology,leader,"Technology Hardware, Storage & Peripherals",情報技術,1.206,0.02,376376377,312010281,0.514,0.918,-0.404,852.7,+12.73
ASML,ASML Holding NV,leader,,不明,1.179,-0.26,158565194,134500350,0.216,0.504,-0.287,1703.1,+7.93
ONDS,Ondas Inc,hot,,不明,1.167,0.14,42472590,36405463,0.058,0.098,-0.040,8.7,+14.79
NOK,Nokia Corporation Sponsored,hot,,不明,1.129,-0.25,43366420,38397066,0.059,0.141,-0.081,9.4,+5.37
AMC,"AMC Entertainment Holdings, Inc",hot,,不明,1.078,-0.30,5939097,5508554,0.008,0.020,-0.012,2.6,+3.63
INTC,Intel,leader,Semiconductors,半導体,1.070,-0.24,579579788,541463310,0.791,1.743,-0.952,99.7,+14.66
SKHY,SK hynix Inc. - American Depos,hot,,不明,1.037,-0.31,256077161,247038583,0.350,0.987,-0.637,143.6,+5.69
MU,Micron Technology,leader,Semiconductors,半導体,1.035,-0.31,2110283509,2039533254,2.881,7.003,-4.122,880.7,+4.96
SIND,Sinda Ltd.,hot,,不明,1.004,-0.40,44550,44385,0.000,0.000,-0.000,16.0,+17.62
MAAS,Maase Inc.,hot,,不明,0.351,-0.62,27805,79200,0.000,0.000,-0.000,18.9,+7.41
