code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_usd,baseline_median_usd,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
EG,Everest Group,core,Reinsurance,金融,3.383,1.97,23157360,6845272,0.032,0.023,+0.009,370.1,-5.78
VLTO,Veralto,core,Environmental & Facilities Services,資本財,3.375,1.31,24197121,7168759,0.033,0.027,+0.006,98.0,+2.72
UAL,United Airlines Holdings,core,Passenger Airlines,資本財,3.364,1.64,63012617,18733197,0.086,0.067,+0.019,129.1,+7.17
KR,Kroger,core,Food Retail,生活必需品,3.359,2.64,59721802,17781113,0.082,0.055,+0.026,57.3,-3.14
LUV,Southwest Airlines,core,Passenger Airlines,資本財,3.357,2.05,32019957,9537623,0.044,0.031,+0.012,46.9,+3.16
EQT,EQT Corporation,core,Oil & Gas Exploration & Production,エネルギー,3.350,2.53,50311784,15017308,0.069,0.047,+0.022,51.6,-1.00
SAP,SAP  SE,hot,,不明,3.347,1.70,113465884,33900393,0.155,0.121,+0.034,199.5,+12.93
TFC,Truist Financial,core,Diversified Banks,金融,3.339,2.84,58400503,17487966,0.080,0.054,+0.026,52.6,+0.35
RJF,Raymond James Financial,core,Investment Banking & Brokerage,金融,3.319,1.33,21182702,6382715,0.029,0.023,+0.006,179.4,+3.35
BNY,BNY Mellon,core,Asset Management & Custody Banks,金融,3.318,2.53,57076882,17200298,0.078,0.054,+0.024,158.8,+0.73
APO,Apollo Global Management,core,Asset Management & Custody Banks,金融,3.299,1.32,62655613,18991052,0.086,0.069,+0.017,128.0,+3.12
EW,Edwards Lifesciences,core,Health Care Equipment,ヘルスケア,3.299,1.86,51450492,15596904,0.070,0.052,+0.019,89.3,+5.83
CHD,Church & Dwight,core,Household Products,生活必需品,3.298,1.20,29995207,9094273,0.041,0.035,+0.006,103.3,+2.86
EXC,Exelon,leader,Electric Utilities,公益事業,3.288,1.30,49013286,14906639,0.067,0.058,+0.009,45.3,-4.89
VG,"Venture Global, Inc.",hot,,不明,3.288,2.36,26776928,8144058,0.037,0.026,+0.011,13.6,+5.76
DLR,Digital Realty,core,Data Center REITs,不動産,3.282,2.11,60049837,18294984,0.082,0.061,+0.021,192.6,-0.71
ADSK,Autodesk,leader,Application Software,情報技術,3.282,1.92,68603072,20905744,0.094,0.071,+0.023,242.6,+4.14
BX,Blackstone Inc.,core,Asset Management & Custody Banks,金融,3.273,2.56,108307825,33089495,0.148,0.102,+0.045,133.4,+1.18
HSY,Hershey Company (The),core,Packaged Foods & Meats,生活必需品,3.273,1.37,45480915,13895716,0.062,0.049,+0.013,183.0,+0.08
PSA,Public Storage,core,Self-Storage REITs,不動産,3.265,1.52,50529294,15474534,0.069,0.051,+0.018,327.1,-0.57
ITW,Illinois Tool Works,core,Industrial Machinery & Supplies & Components,資本財,3.261,1.03,48236240,14790352,0.066,0.062,+0.004,294.6,-0.70
MDT,Medtronic,core,Health Care Equipment,ヘルスケア,3.261,1.41,88776902,27221715,0.121,0.095,+0.027,85.9,-0.77
