code,name,bucket,sector,group
CAT,Caterpillar Inc.,core,Construction Machinery & Heavy Transportation Equipment,資本財
CB,Chubb Limited,core,Property & Casualty Insurance,金融
CBOE,Cboe Global Markets,core,Financial Exchanges & Data,金融
CBRE,CBRE Group,core,Real Estate Services,不動産
CCI,Crown Castle,core,Telecom Tower REITs,不動産
CCL,Carnival Corporation,core,"Hotels, Resorts & Cruise Lines",一般消費財
CDW,CDW Corporation,core,Technology Distributors,情報技術
CF,CF Industries,core,Fertilizers & Agricultural Chemicals,素材
CFG,Citizens Financial Group,core,Regional Banks,金融
CHD,Church & Dwight,core,Household Products,生活必需品
CHRW,C.H. Robinson,core,Air Freight & Logistics,資本財
CHTR,Charter Communications,core,Cable & Satellite,コミュニケーション・サービス
CI,Cigna,core,Health Care Services,ヘルスケア
CIEN,Ciena,core,Communications Equipment,情報技術
CINF,Cincinnati Financial,core,Property & Casualty Insurance,金融
CL,Colgate-Palmolive,core,Household Products,生活必需品
CLX,Clorox,core,Household Products,生活必需品
CME,CME Group,core,Financial Exchanges & Data,金融
CMG,Chipotle Mexican Grill,core,Restaurants,一般消費財
CMI,Cummins,core,Construction Machinery & Heavy Transportation Equipment,資本財
CMS,CMS Energy,core,Multi-Utilities,公益事業
CNC,Centene Corporation,core,Managed Health Care,ヘルスケア
CNP,CenterPoint Energy,core,Multi-Utilities,公益事業
COF,Capital One,core,Consumer Finance,金融
COHR,Coherent Corp.,core,Electronic Components,情報技術
COIN,Coinbase,core,Financial Exchanges & Data,金融
COO,Cooper Companies (The),core,Health Care Supplies,ヘルスケア
COP,ConocoPhillips,core,Oil & Gas Exploration & Production,エネルギー
COR,Cencora,core,Health Care Distributors,ヘルスケア
CPAY,Corpay,core,Transaction & Payment Processing Services,金融
CPT,Camden Property Trust,core,Multi-Family Residential REITs,不動産
CRH,CRH plc,core,Construction Materials,素材
CRL,Charles River Laboratories,core,Life Sciences Tools & Services,ヘルスケア
CRM,Salesforce,core,Application Software,情報技術
CSGP,CoStar Group,core,Real Estate Services,不動産
CTSH,Cognizant,core,IT Consulting & Other Services,情報技術
CTVA,Corteva,core,Fertilizers & Agricultural Chemicals,素材
CVNA,Carvana,core,Automotive Retail,一般消費財
CVS,CVS Health,core,Health Care Services,ヘルスケア
CVX,Chevron Corporation,core,Integrated Oil & Gas,エネルギー
D,Dominion Energy,core,Multi-Utilities,公益事業
DAL,Delta Air Lines,core,Passenger Airlines,資本財
DD,DuPont,core,Specialty Chemicals,素材
DE,Deere & Company,core,Agricultural & Farm Machinery,資本財
DECK,Deckers Brands,core,Footwear,一般消費財
DELL,Dell Technologies,core,"Technology Hardware, Storage & Peripherals",情報技術
DG,Dollar General,core,Consumer Staples Merchandise Retail,生活必需品
DGX,Quest Diagnostics,core,Health Care Services,ヘルスケア
DHI,D. R. Horton,core,Homebuilding,一般消費財
DHR,Danaher Corporation,core,Life Sciences Tools & Services,ヘルスケア
DIS,Walt Disney Company (The),core,Movies & Entertainment,コミュニケーション・サービス
DLR,Digital Realty,core,Data Center REITs,不動産
DLTR,Dollar Tree,core,Consumer Staples Merchandise Retail,生活必需品
DOC,Healthpeak Properties,core,Health Care REITs,不動産
DOV,Dover Corporation,core,Industrial Machinery & Supplies & Components,資本財
DOW,Dow Inc.,core,Commodity Chemicals,素材
DPZ,Domino's,core,Restaurants,一般消費財
DRI,Darden Restaurants,core,Restaurants,一般消費財
DTE,DTE Energy,core,Multi-Utilities,公益事業
DUK,Duke Energy,core,Electric Utilities,公益事業
DVA,DaVita,core,Health Care Services,ヘルスケア
DVN,Devon Energy,core,Oil & Gas Exploration & Production,エネルギー
EBAY,eBay Inc.,core,Broadline Retail,一般消費財
ECHO,EchoStar,core,Wireless Telecommunication Services,コミュニケーション・サービス
ECL,Ecolab,core,Specialty Chemicals,素材
ED,Consolidated Edison,core,Multi-Utilities,公益事業
EFX,Equifax,core,Research & Consulting Services,資本財
EG,Everest Group,core,Reinsurance,金融
EIX,Edison International,core,Electric Utilities,公益事業
EL,Estée Lauder Companies (The),core,Personal Care Products,生活必需品
ELV,Elevance Health,core,Managed Health Care,ヘルスケア
EME,Emcor,core,Construction & Engineering,資本財
EMR,Emerson Electric,core,Electrical Components & Equipment,資本財
EOG,EOG Resources,core,Oil & Gas Exploration & Production,エネルギー
EQIX,Equinix,core,Data Center REITs,不動産
EQR,Equity Residential,core,Multi-Family Residential REITs,不動産
EQT,EQT Corporation,core,Oil & Gas Exploration & Production,エネルギー
ERIE,Erie Indemnity,core,Insurance Brokers,金融
ES,Eversource Energy,core,Electric Utilities,公益事業
ESS,Essex Property Trust,core,Multi-Family Residential REITs,不動産
ETN,Eaton Corporation,core,Electrical Components & Equipment,資本財
ETR,Entergy,core,Electric Utilities,公益事業
EVRG,Evergy,core,Electric Utilities,公益事業
EW,Edwards Lifesciences,core,Health Care Equipment,ヘルスケア
EXE,Expand Energy,core,Oil & Gas Exploration & Production,エネルギー
EXPD,Expeditors International,core,Air Freight & Logistics,資本財
EXPE,Expedia Group,core,"Hotels, Resorts & Cruise Lines",一般消費財
EXR,Extra Space Storage,core,Self-Storage REITs,不動産
F,Ford Motor Company,core,Automobile Manufacturers,一般消費財
FCX,Freeport-McMoRan,core,Copper,素材
FDS,FactSet,core,Financial Exchanges & Data,金融
FDX,FedEx,core,Air Freight & Logistics,資本財
FDXF,FedEx Freight,core,Cargo Ground Transportation,資本財
FE,FirstEnergy,core,Electric Utilities,公益事業
FFIV,"F5, Inc.",core,Communications Equipment,情報技術
FICO,Fair Isaac,core,Application Software,情報技術
FIS,Fidelity National Information Services,core,Transaction & Payment Processing Services,金融
FISV,Fiserv,core,Transaction & Payment Processing Services,金融
FITB,Fifth Third Bancorp,core,Regional Banks,金融
FIX,Comfort Systems USA,core,Construction & Engineering,資本財
FLEX,Flex Ltd.,core,Electronic Manufacturing Services,情報技術
FOX,Fox Corporation (Class B),core,Broadcasting,コミュニケーション・サービス
FOXA,Fox Corporation (Class A),core,Broadcasting,コミュニケーション・サービス
FRT,Federal Realty Investment Trust,core,Retail REITs,不動産
FSLR,First Solar,core,Semiconductors,情報技術
FTV,Fortive,core,Industrial Machinery & Supplies & Components,資本財
