name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
HypurrCorea HYPE Staking,Staking Pool,Hyperliquid L1,33513,225445,926749,6.42,3.56
Bitwise HYPE Staking,Staking Pool,Hyperliquid L1,33100,222060,941628,6.39,3.5
Re,RWA,Base;Ethereum;Arbitrum;Avalanche,32693,240873,1267322,-4.78,-58.89
Upshift,Onchain Capital Allocator,Ethereum;Avalanche;Base;Hyperliquid L1;BSC;Monad;Flare;Fluent,31623,130154,337499,64.98,20.28
The Vault Liquid Staking,Liquid Staking,Solana,31593,115763,404528,,
Ring Swap,Dexs,Blast;Ethereum;BSC;Hyperliquid L1,31406,147961,867469,44.34,-1.63
Uniswap V2,Dexs,Ethereum;Arbitrum;Polygon;OP Mainnet;Base;BSC;Avalanche;Zora;Blast;Unichain;Monad;X Layer;Tempo,30720,219015,1301125,-15.99,-25.4
JPool,Liquid Staking,Solana,30557,113971,404513,,
Bybit Staked SOL,Liquid Staking,Solana,30404,111291,403860,607980,607980
Nado Perps,Derivatives,Ink,30103,201022,1201095,-34.5,-37.11
M0,Stablecoin Issuer,Ethereum,29540,205774,912363,-0.82,-1.8
Purrposeful HYPE Staking,Staking Pool,Hyperliquid L1,29183,196396,809195,6.39,3.39
Pier Two HYPE Staking,Staking Pool,Hyperliquid L1,29183,196396,810025,6.39,3.39
EasyA Kickstart,Launchpad,Solana,28793,175744,565100,32.67,-38.66
Aerodrome V1,Dexs,Base,28676,291912,1451946,-55.14,-32.62
Nozomi,Developer Tools,Solana,28584,164465,534540,8.54,99.47
Geodnet,Oracle,Polygon;Solana,28191,239592,896401,51.14,-38.45
USDT0-Luganodes HYPE Staking,Staking Pool,Hyperliquid L1,28162,189391,822973,6.4,3.53
Thorchain DEX,Dexs,Thorchain;Bitcoin;Litecoin;Bitcoincash;Ethereum;Doge;Terra Classic;CosmosHub;Avalanche;BSC;Base;XRPL;Tron;Solana,27870,116093,241851,70.36,86.38
Azuro,Prediction Market,Gnosis;Polygon;Arbitrum;Linea;Chiliz;Base,27656,-166790,57651,0,-31.94
