name,category,chains,total_24h,total_7d,total_30d,change_1d_pct,change_7d_pct
Project X,Dexs,Hyperliquid L1,92624059,742897911,4213030780,-24.55,-39.45
Figure Markets Exchange,OTC Marketplace,Provenance,83459358,1662378519,4234949467,-69.81,115.48
Curve DEX,Dexs,Ethereum;OP Mainnet;Gnosis;Avalanche;Polygon;Arbitrum;Fantom;Fraxtal;Celo;Base;Sonic;Hyperliquid L1;Plasma;Mantle;Ink;Unichain;Monad;Stable,78877465,505374293,3438876731,-25.57,-30
SolFi V2,Dexs,Solana,74391829,578351089,2237824686,-5.51,-33.95
Metric,Dexs,Ethereum;Arbitrum;BSC;Polygon;Avalanche;Base;MegaETH;Hyperliquid L1;Monad,67212608,428926236,2326801869,-4.04,-29.08
pump.fun,Launchpad,Solana,64394324,365990813,1306419710,8.7,53.41
Scorch,Dexs,Solana,61742399,321940798,2811761839,0,-7.65
Axiom,Trading App,BSC;Solana,48515738,269855758,952046748,0,68.57
SUNSwap V3,Dexs,Tron,47114150,250874885,1320066210,15,-14.27
Jupiterz,Dexs,Solana,46687672,366190452,1199065030,0,16.72
Unit,Bridge,Hyperliquid L1,45121181,319729429,457681057,-13.18,-19.52
AlphaQ,Dexs,Solana,43042236,323217780,1839592486,-1.76,-19.23
HumidiFi,Dexs,Solana,39077868,262878127,1450499618,1.83,-1.9
Ekubo,Dexs,Starknet;Ethereum,38511654,119547158,784880418,40.02,248.84
edgeX Spot,Dexs,edgeX L1,35554812,187039948,1208489337,8.04,-4.15
Pharaoh DLMM,Dexs,Avalanche,33825333,147810795,360477727,-9.64,384.03
nest CL,Dexs,Hyperliquid L1,33724305,194632441,936075573,6,4.32
Aster Spot,Dexs,Off Chain,29633509,231243029,593688482,-53.05,111.61
Ramses CL V2,Dexs,Hyperliquid L1;Polygon;Arbitrum,28474678,195394026,776221280,0.82,-12.56
Ondo Global Markets,RWA,Ethereum;BSC,27846349,157654674,817552336,-28.58,6.88
Thorchain DEX,Dexs,Thorchain,25782878,101055755,145576568,81.84,132
Aquifer,Dexs,Solana,25303685,153582553,1131426755,0,-47.33
PancakeSwap AMM,Dexs,BSC;Ethereum;Polygon zkEVM;ZKsync Era;Arbitrum;Linea;Base;opBNB;Aptos;Monad,23959887,208669782,1049860629,4.57,-15.05
Pharaoh V3,Dexs,Avalanche,22379272,98842009,558755599,21.3,17.09
Velodrome V3,Dexs,OP Mainnet;Lisk;Fraxtal;Mode;Ink;Soneium;Unichain;Swellchain;Celo,19055782,97769677,464373582,13.18,24.83
DODO AMM,Dexs,BSC;Ethereum;Aurora;Polygon;Arbitrum;Avalanche;OP Mainnet;Scroll;Linea;Base;Manta;Defi Oracle Meta,18285477,88696403,467678702,228.14,173.17
InsightX,Prediction Market,Off Chain,18271089,140367353,300284452,-6.57,-13.28
Meteora Dynamic Bonding Curve,Launchpad,Solana,18269228,69614254,173162331,19.18,387.64
GMGN,Telegram Bot,Solana;Base;BSC;Monad;MegaETH;Hyperliquid L1,17352183,81986654,366666292,0,78.4
Native Swap,Dexs,BSC;Ethereum;Polygon;Arbitrum;Avalanche;Mantle;Base;ZetaChain,16810632,165165064,1284879540,-19,-59.06
Pendle,Yield,Ethereum;Arbitrum;Mantle;BSC;OP Mainnet;Plasma;Base;Monad,16162230,101320106,733614955,-53.29,-37.73
Dexalot DEX,Dexs,Avalanche;Dexalot;Arbitrum;Base;BSC,15600977,197785210,646721754,8.48,-64.63
Chainflip AMM,Dexs,Chainflip,14120424,67074416,321482778,26.8,32.91
Predict Fun,Prediction Market,Blast;BSC,13393843,87484288,287677838,-13.99,11.35
fomo Wallet,Trading App,Solana,13217263,86425856,265787995,0,72.49
Topaz CL,Dexs,BSC,13099291,130458901,595296544,-8.74,-49.7
FermiSwap,Dexs,Ethereum,13097139,72666572,295071024,19.2,-42.34
Byreal,Dexs,Solana,13050839,108946806,578908012,-63.79,-13.04
Cetus CLMM,Dexs,Aptos;Sui,12853843,65171987,400657613,30.72,4.25
OPINION,Prediction Market,BSC,11738102,100806128,399658255,-46.4,-15.91
DeepBook V3,Dexs,Sui,11158626,72964282,467611268,-6.89,-26.35
Ring Swap,Dexs,Ethereum;Blast;BSC;Hyperliquid L1,11029887,48755542,289903289,53.05,-1.74
Lighter Spot,Dexs,zkLighter,10231936,52809968,213684138,-43.61,162.24
Rhea Dex,Dexs,Near,9974791,60420063,538133751,9.51,-0.21
Uniswap V2,Dexs,Ethereum;Arbitrum;Polygon;Base;OP Mainnet;BSC;Avalanche;Zora;Blast;Unichain;Monad;X Layer;Tempo,9587834,70525268,403791595,-20.86,-29.74
Blackhole CLMM,Dexs,Avalanche,9323951,72017792,382850657,-18.36,-21.44
Bluefin Spot,Dexs,Sui,9217120,58955215,341090512,7.07,-22.09
Lista DEX,Dexs,Ethereum;BSC,9176507,58928261,476799152,-12.3,29.75
Terminal,Telegram Bot,Base;Ethereum;BSC;Solana,8912713,48803238,181324725,0,57.69
Kuru CLOB,Dexs,Monad,8774071,52388919,400297468,-1.14,-8.99
Joe V2.2,Dexs,Avalanche;Arbitrum;Monad,8621539,59441539,240139247,42.4,-22.64
ThalaSwap V3,Dexs,Aptos,7957803,166812574,650666585,-79.33,-67.73
Aerodrome V1,Dexs,Base,7791169,54570106,314755291,-23.36,-44.11
Saphyre V3,Dexs,Sei,7645778,56793808,259081559,-27.53,-54.08
Angstrom,Dexs,Ethereum,7045539,50764979,228701082,-11.68,-35.47
LiquidCore,Dexs,Hyperliquid L1,6963681,53483411,256107043,-18.78,-30.8
Camelot V3,Dexs,Arbitrum;ApeChain;Gravity by Galxe;Rari;ReyaChain;Gnosis;Sanko,6285377,40820065,223828861,-0.57,-30.68
Hanji Protocol,Dexs,Etherlink;Base;Monad,6273724,35601291,144801926,7.7,-26.93
STON.fi,Dexs,TON,6061582,21665803,132246390,109.29,138.69
TanX.fi,Dexs,Ethereum,5911098,42141220,180282611,-3.98,-3.42
HyperSwap V3,Dexs,Hyperliquid L1,5863350,46226517,337157070,-34.22,-30.38
Balancer V2,Dexs,Ethereum;Polygon;Arbitrum;Gnosis;Avalanche;Polygon zkEVM;Base;Mode;Fraxtal;OP Mainnet,5859502,19134925,44888994,-11.72,196.64
ElfomoFi,Dexs,Base;BSC,5786742,39269128,201771465,8.38,34.29
Quickswap V3,Dexs,Polygon;Dogechain;Polygon zkEVM;Manta;Soneium;Immutable zkEVM;X Layer,5507997,40293412,190608222,-24.88,-14.65
Nexo Card,Crypto Card Issuer,Base;Avalanche;OP Mainnet;Arbitrum;Ethereum;Polygon,5499341,29914586,328976874,8.18,-16
Limitless Exchange,Prediction Market,Base,5456151,23224270,152875340,-22.06,96.04
Kittenswap Algebra,Dexs,Hyperliquid L1,5384794,27584612,103219840,27.24,17.84
Balancer V3,Dexs,Ethereum;Gnosis;Arbitrum;OP Mainnet;Avalanche;Base;Hyperliquid L1;Plasma;Monad,5307397,30460393,298358439,57.96,-30.63
Turbos,Dexs,Sui,5183875,30197904,162470533,2.43,18.97
SushiSwap V3,Dexs,Moonriver;Arbitrum Nova;BSC;Avalanche;Polygon;Arbitrum;Fuse;Fantom;OP Mainnet;Ethereum;Gnosis;Polygon zkEVM;Boba;ThunderCore;Base;CORE;Blast;Bittorrent;Kava;Linea;Metis;Scroll;Filecoin;Rootstock;Hemi;Sonic;Katana;ZetaChain,4892338,28550387,215091135,44.61,-42.51
SolFi V1,Dexs,Solana,4832931,28786989,141220497,-5.98,-46.1
Taiko Swap,Dexs,Taiko,4773107,5971723,5971723,690.65,
Hybra V4,Dexs,Hyperliquid L1,4663213,24835637,70821118,-12.15,48.57
four.meme,Launchpad,BSC,4603438,18325103,105663084,17,400.41
Trojan,Telegram Bot,Solana,4507336,25525350,98815864,0,35.85
SX Bet,Prediction Market,SX Rollup,4042552,46186699,151394814,-53.68,-50.91
Lightspeed,Dexs,Canton,4020435,24031817,38148245,9.25,27.48
XRPL DEX,Dexs,XRPL,3952882,30759021,194884315,16.06,-17.66
Hydration DEX,Dexs,Hydration,3903194,12168266,88132355,184.39,49.71
Collector Crypt,Physical TCG,Solana,3756411,36052350,177125210,-26.14,-67.47
EtherFi Cash Liquid,Crypto Card Issuer,Scroll;OP Mainnet,3370398,21604449,84001821,-18.03,40.5
Courtyard,Physical TCG,Polygon,3308194,23028415,117193629,-31.51,-7.47
Tokenlon AMM,Dexs,Ethereum,3165377,22462041,149616707,-9.17,-57.08
Banana Gun,Telegram Bot,Base;Unichain;BSC;Sonic;Blast;Ethereum;Solana,2999448,15759305,49507273,0,22.02
Hashflow,DEX Aggregator,BSC;OP Mainnet;Ethereum;Avalanche;Polygon;Arbitrum;Solana,2989132,23831284,165095834,-45.4,131.29
Doma DEX V3,Dexs,Doma,2858449,21052643,67815963,-0.59,-2.3
RedotPay Card,Crypto Card Issuer,Arbitrum;OP Mainnet;Base;Polygon;Ethereum;Avalanche,2787912,17174173,64613750,-11.37,-31.43
Pangolin V3,Dexs,Avalanche;Monad,2573271,7406373,56997991,36.06,459.4
LaunchLab,Launchpad,Solana,2541106,9285269,16915220,0,966.21
Kodiak V3,Dexs,Berachain,2396812,12160687,60667767,75.24,54.97
SparkDEX V4,Dexs,Flare,2381873,19818505,85405805,-25.72,-19.8
SaucerSwap V2,Dexs,Hedera,2368627,13667866,66145744,115.93,95.76
Whalestreet,Dexs,Solana,2362741,14066888,184646094,0,-1.97
Aquarius Stellar,Dexs,Stellar,2361845,16696290,83510339,-54.67,42.44
Lunarbase,Dexs,Base,2341141,16264927,42137215,29.75,-49.82
TrueCurrent,Derivatives,Injective,2334900,10112697,22813835,-20.04,225.81
Osmosis DEX,Dexs,Osmosis,2239532,11623226,82330322,0,-55.37
Gala Swap,Dexs,Gala,2094517,15660523,71451088,52.67,-9.58
MetalX Dex,Dexs,XPR Network,2046584,13143755,57969733,15.57,0.01
Lotus Finance,Dexs,Sui,2035261,11194422,86768439,68.85,20.91
SoDEX Spot,Dexs,ValueChain,1882480,10703806,77607540,41.67,49.84
PayCash,Dexs,Vaulta;MultiversX,1863546,43008086,209221417,-74.97,-82.09
SparkDEX V3.1,Dexs,Flare,1795124,11634194,60532708,-10.57,-18.34
PulseX V1,Dexs,PulseChain,1748526,8517264,48389311,35.2,66.51
Meteora DAMM V1,Dexs,Solana,1742306,10211309,46364656,21.04,11.71
TeleSwap,Bridge,Polygon;BSC;BOB;BSquared,1727353,11212447,47719975,0.23,-13.51
Yield Basis,Leveraged Farming,Ethereum,1681205,8046472,48480009,-29.85,-30.36
THENA INTEGRAL,Dexs,BSC,1656599,10599947,74806497,11.6,-3.54
Photon,Trading App,Solana,1642377,9386826,34038984,0,55.36
Archer Exchange,Dexs,Solana,1639520,11821364,114770737,-6.57,-29.27
Quickswap V4,Dexs,Soneium;Base;Somnia,1628027,9831119,51612400,-1.13,-2.63
Volmex,Yield,Ethereum;Polygon;Arbitrum,1596331,4356598,4359551,564.34,
Kipseli,Dexs,Ethereum,1496573,9435025,29366281,-16.15,6.46
Bitflow,Dexs,Stacks,1486199,4023926,33520086,395.85,328.59
SUNSwap V2,Dexs,Tron,1483695,10561963,70985788,2.95,-34.99
Streamflow,Payments,Solana,1441242,6628405,13862176,-37.26,-31.57
PulseX V2,Dexs,PulseChain,1316946,6479912,42511705,35.46,88.77
b402,Payments,Base,1310626,9023168,38163007,-15.75,-16.62
Shadow Exchange CLMM,Dexs,Sonic,1260758,6901509,24207227,152.68,104.71
Clober V2,Dexs,Base;ZKsync Era;Monad,1251339,3124815,16417290,519.94,1220.02
Deriverse,Dexs,Solana,1235209,7383082,24287642,19.07,-5.59
0x,DEX Aggregator,Ethereum;Polygon;BSC;OP Mainnet;Fantom;Celo;Avalanche;Arbitrum;Base;Hyperliquid L1,1225780,56579802,187720204,-88.71,-87
PumpSpace V3,Dexs,Avalanche,1208850,10887761,62216706,-17.76,-51.02
Enosys AMM V3,Dexs,Flare;Songbird,1118352,7596736,57478270,-5.16,-15.78
dreamDEX,Dexs,Somnia,1110665,2770087,10191600,43.37,723.25
Outcome.xyz,Interface,Hyperliquid L1,1095876,7320489,7320489,0,
Supernova CL,Dexs,Ethereum,1048271,9821488,47702413,-19.92,-37.71
W-DEX,Dexs,Polygon,1042053,9355711,51659144,-6.36,10.96
moonshot.money,Trading App,Solana,1029111,5031791,20913971,103.17,129.81
Mento V2,Algo-Stables,Celo,999727,11520658,29318824,-72.11,-4.54
Integral,Dexs,Ethereum;Arbitrum,986422,7395326,31271400,-32.67,4.28
Agni Finance,Dexs,Mantle,960350,4667907,24827971,-0.37,-33.49
SushiSwap,Dexs,Ethereum;Fantom;BSC;Harmony;Polygon;Gnosis;Arbitrum;Avalanche;Moonriver;Celo;Fuse;Boba;Blast;CORE;Katana;Metis;Linea;Sonic;OP Mainnet;Base,948879,9152521,28826366,-49.39,-40.29
DeDust,Dexs,TON,946157,3920445,23570877,38.17,53.46
Legion,Launchpad,Ethereum,838495,2084032,2084032,-19.68,
Sablier Lockup,Payments,ZKsync Era;Hyperliquid L1;Gnosis;Avalanche;Blast;Sei;Polygon;Mode;Arbitrum;Sonic;Abstract;Ethereum;OP Mainnet;Berachain;Unichain;Scroll;Linea;Base;BSC,826184,5215062,673850590,-33.9,-99.87
SundaeSwap V2,Dexs,Cardano,822627,3068803,36552485,12.9,79.25
THORSwap,DEX Aggregator,Thorchain;Chainflip;Mayachain;Near,800897,5811484,39729946,-31.47,-33.01
BONKbot,Telegram Bot,Solana,795256,5169031,16094125,0,55.2
Bloom Trading Bot,Gaming,Base;Solana;BSC,794551,4393993,17059456,0,24.9
EGAS swap,Dexs,ENI,794211,4498358,46693038,29.89,-16.14
Momentum,Dexs,Sui,762151,11042098,65408989,-55.38,-43.6
FluxBeam,Dexs,Solana,758354,4800089,32426396,9.23,26.6
FluxFlow V3,Dexs,Fluent,718542,1813779,11787234,80.81,19.77
Solidly V3,Dexs,Ethereum;OP Mainnet;Arbitrum;Fantom;Base;Sonic,692140,3000515,16466027,59.23,-2.52
Ryze Protocol,Dexs,Base,655736,3015646,10118072,-12.1,55.5
Kolo Card,Crypto Card Issuer,Arbitrum;OP Mainnet;Ethereum;Base;Polygon,599328,2493812,10556831,166.36,134.97
Ave.ai,Trading App,Base;Hyperliquid L1;Ethereum;BSC;Solana,587036,3521562,34187115,0,35.9
Maverick V1,Dexs,Ethereum;ZKsync Era;BSC;Base,560375,5027367,25773407,-41.9,-62.25
Alien Base V2,Dexs,Base,551133,1894385,14085701,122.34,49.21
TurboFlow Prediction Markets,Prediction Market,Solana;BSC,517993,3133668,13943928,-14.31,25.75
Frax Swap,Dexs,Moonriver;Harmony;Moonbeam;BSC;Boba;Ethereum;Aurora;Avalanche;Polygon;Arbitrum;Fantom;Fraxtal;OP Mainnet,496530,1592232,11365448,154.55,-79.43
VVS Standard,Dexs,Cronos,490054,3231448,18906502,-7.91,-60.94
BulbaSwap V3,Dexs,Morph,483957,2538903,11807289,24.73,-4.76
Aborean CL,Dexs,Abstract,471281,2789682,14818468,-47.49,-16.5
Beezie,Physical TCG,Flow;Base,454754,4572380,18031051,-36.33,70.37
Full Sail,Dexs,Sui,447149,3064095,22811479,-4.38,-30
Quickswap Dex,Dexs,Polygon;Base,443049,106052894,454620254,22.19,-29.47
Overtime,Prediction Market,Base;OP Mainnet;Arbitrum;Polygon,441291,2397544,8408954,2.94,38.42
Joe V2.1,Dexs,Arbitrum;BSC;Avalanche;Ethereum;Monad,438704,3045547,11896853,-10.78,-45.21
Kumbaya,Dexs,MegaETH,427374,5583573,41828470,-46.45,-47.85
MagicSea LB,Dexs,IOTA EVM,422524,1956759,7863873,-32.72,505.17
Jupiter Prediction,Interface,Solana,421058,4360580,14551493,-45.13,-49.42
Katana DEX,Dexs,Ronin,417762,1930936,11212436,19.68,0.43
9mm V3,Dexs,PulseChain;Base;Sonic,405733,2144409,13268622,37.4,47.61
Mento V3,Dexs,Celo;Monad,396472,1570395,7706392,-40.42,157.22
Futarchy AMM,Dexs,Solana,384933,2756582,17511957,4.35,-12.88
Sanctum Infinity,Dexs,Solana,381830,1469525,4994116,292.1,9231.13
Plasma One,Crypto Card Issuer,Plasma,374833,2733966,9303624,0.34,-16.89
Minswap DEX,Dexs,Cardano,363295,2414092,26448010,-8.36,-36.78
DefiTuna AMM,Dexs,Solana,362347,4290376,13037467,5.24,-44.91
SyncSwap,Dexs,ZKsync Era;Linea;Scroll;Sophon,348173,2062146,10022234,-10.2,-8.51
Fulcrom AMM,Dexs,Cronos;ZKsync Era;Cronos zkEVM,340753,2567073,17375125,-9.75,-79.14
Merchant Moe Liquidity Book,Dexs,Mantle,319501,2969293,36821848,-56.79,-79.78
PulseX StableSwap,Dexs,PulseChain,307034,1164172,7127019,100.74,97.16
Cetus DLMM,Dexs,Sui,306702,1256446,7151755,47.47,15.93
Cypher V4,Dexs,Ethereum,304668,2912363,13313414,-20.91,-38.18
Haedal AMM Protocol,Dexs,Sui,291049,2690996,27071094,-25.35,-67.06
FlowX V3,Dexs,Sui,282575,2215983,21722380,-25.55,-15.01
Rise.rich,Launchpad,Solana,277186,1655261,11875383,-6.64,-56.12
PancakeSwap Prediction,Prediction Market,BSC,276121,1963723,9633784,-12.18,-28.62
Cypher Card,Crypto Card Issuer,OP Mainnet;Base;Avalanche;Ethereum;Polygon;Arbitrum,274009,1781824,7868429,-25.12,36.88
Gnosis Pay,Crypto Card Issuer,Gnosis,273636,1826385,1826478,-5,
Injective Spot,Dexs,Injective,270101,2505200,12756817,-51.08,-22.35
O2 Exchange,Dexs,Fuel Ignition,269591,13760524,148369969,21.93,-97.52
Swapr V3,Dexs,Gnosis,268660,1688144,12455166,16.37,-68.82
Ferra DLMM,Dexs,Sui,267954,2231452,5380423,-34.24,133.89
Monster,Physical TCG,MegaETH;Off Chain,266045,1764660,12672433,13.84,-66.34
Spritz Card,Crypto Card Issuer,Avalanche;Polygon;Base;Arbitrum;OP Mainnet;Ethereum;BSC,263905,1237803,4298609,-1.41,218.93
Maverick V2,Dexs,BSC;Base;ZKsync Era;Ethereum;Arbitrum;Scroll,262467,2098041,12806825,11.2,-40.76
Tinyman,Dexs,Algorand,253439,1583201,11743144,18.22,-52.27
THENA FUSION,Dexs,BSC,246603,1875608,8071656,-46.22,3.9
Joe DEX,Dexs,Avalanche;BSC;Arbitrum,243900,2198332,11360630,-20.24,-55.74
PancakeSwap StableSwap,Dexs,BSC;Arbitrum;Ethereum,243677,2494625,12017550,-22.41,-42.03
ICPSwap,Dexs,ICP,231398,1916440,13991738,-30.74,-46.05
SolTradingBot,Telegram Bot,Solana,230371,1073503,4705840,0,46.88
LN Exchange Spot,Dexs,Bitcoin,226117,1640204,9309848,0.11,-8.42
Fluxion Network,Dexs,Mantle,223816,1127464,11152766,39.07,-13.26
Ultrasolid V3,Dexs,Hyperliquid L1,219876,1862743,9267290,-23.84,-42.32
Bancor V2.1,Dexs,Ethereum,204141,1344847,4872355,82.32,-63.67
SwapX Algebra,Dexs,Sonic,199354,2213864,8639799,9.02,-51.55
Blur Bids,NFT Marketplace,Ethereum,196999,1007013,7979819,60.66,18.79
Alpha Arcade,Prediction Market,Algorand,194526,1316630,3249981,25.09,-9.01
TONCO,Dexs,TON,189356,468333,6692922,178.42,293.9
THENA V1,Dexs,BSC,187438,319198,722378,148.76,723.4
Capricorn,Dexs,Monad,187216,1414963,7407249,-30.88,-14.75
Metropolis DLMM,Dexs,Sonic,179732,1441392,6842462,149.65,-10.46
WingRiders,Dexs,Cardano,175100,850758,9874275,-2.35,5.56
PRED,Prediction Market,Base,173114,801978,3308479,68.92,43.13
Camelot V2,Dexs,Arbitrum;Gravity by Galxe;Rari;ReyaChain;Gnosis;Sanko;ApeChain,172893,604717,2873977,35.26,84.53
Nado Spot,Dexs,Ink,172325,1522800,17377114,-50.39,-59.82
Hypertrade V3,Dexs,Hyperliquid L1,163033,968779,3098728,6.2,62.63
Spectra V2,Yield,Base;Arbitrum;Ethereum;OP Mainnet;Sonic;Hemi;Avalanche;BSC;Hyperliquid L1;Katana;Flare;Monad,161575,846603,17143134,-18.5,49.61
Alphix,Dexs,Base;Arbitrum,160349,557679,4619261,-58.03,193091.57
Beets DEX,Dexs,Fantom;OP Mainnet;Sonic,157989,1115567,4306312,116.55,-18.08
ZealousSwap,Dexs,Igra;Kasplex,155714,127514,576568,427.13,770.25
Phoenix Spot,Dexs,Solana,149794,695862,1709169,116.58,50
SaucerSwap V1,Dexs,Hedera,149713,1119107,5290573,2.88,6.56
Hybra V3,Dexs,Hyperliquid L1,148155,1207906,8670811,-27.22,-42.58
Fluid DEX Lite,Dexs,Ethereum,147501,1645156,4212015,6.96,-42.25
SUNSwap V1,Dexs,Tron,146803,885336,11120264,2.86,-60.86
Katana DEX V3,Dexs,Ronin,145758,736113,4622869,1.57,-7.31
Dano Finance,Dexs,Cardano,143286,485469,9413477,34.45,147.9
SakuraSwap CLMM,Dexs,Abstract;Zero Network;Shape;Redstone;Ink,139830,1120042,2080807,-53.46,
Velodrome V1,Dexs,OP Mainnet;Mode;BOB,139209,231897,859293,924.5,120.06
MetaMask Card,Crypto Card Issuer,Linea;Solana;Base,138347,846746,3541863,17.49,21.85
o1.exchange,Trading App,Solana;Base;BSC,134954,958348,11078069,-1.23,-48.99
DragonSwap V3 Kaia,Dexs,Kaia,134650,2143887,9035232,-16.87,-61.04
4Swap,Dexs,Mixin,134612,658449,3417929,34.84,-30.7
Unchain X,Dexs,BSC,132447,663567,4193463,31.87,-18.71
Balancer V1,Dexs,Ethereum,127618,763092,7412344,106.31,-27.91
Bleap Card,Crypto Card Issuer,Arbitrum,127135,870348,3406090,-14.15,-9.66
Valantis STEX,Dexs,Hyperliquid L1,127097,2066759,18936123,-60.7,19.52
RateX DEX,Yield,Solana,127005,805649,3210974,95.38,129.96
Astroport,Dexs,Injective;Neutron;Terra2;Sei;Osmosis,125000,1403347,5686290,-66.52,-41.28
XSwap V3,Dexs,XDC,122733,183531,5261472,512.04,221.04
Ape Church,Luck Games,ApeChain,121966,656661,4319893,-1.95,-16.85
Allbridge Classic,Bridge,BSC;Ethereum;Heco;Stellar;Avalanche;Polygon;Solana;Celo;Fantom;Kaia;Aurora;Near;Terra Classic;Tezos;Harmony;Waves;Fuse;Stacks,120287,397110,1383883,,37256.21
stabble Stableswap,Dexs,Solana,118766,617484,3158851,58.16,77.53
Superfluid,Payments,Scroll;Ethereum;Avalanche;Celo;BSC;Gnosis;Arbitrum;OP Mainnet;Base;Polygon,118381,816087,3634996,2.22,-0.01
Shadow Exchange Legacy,Dexs,Sonic,113874,758054,1226905,348.78,565.04
Prism DEX,Dexs,MegaETH,113521,2182575,8802162,-20.17,-36.62
KrokoSwap V3,Dexs,Kasplex,112995,744104,3309784,-0.95,11.49
Saber,Dexs,Solana,112928,684479,11087456,-37.53,-9.5
Lynex V2,Dexs,Linea,112398,1011507,5488629,-50.11,-34.44
DipCoin Spot,Dexs,Sui,109631,700348,4716105,63.02,-7.87
Etherex CL,Dexs,Linea,105888,866693,5414964,-46.2,-0.27
FlowSwap V3,Dexs,Flow,105498,1257120,8721129,-33.6,-76.28
Kyo Finance,Dexs,Soneium,105288,746973,3895808,-22.21,14.18
Pull.fun,Physical TCG,Off Chain,102450,1931450,7711950,-45.94,-55.55
Capx AI,AI Agents,Capx Chain,101129,986717,1451745,-39.28,-34.8
SectorOne DLMM,Dexs,Base;MegaETH;Ethereum,98071,1223391,6140175,-0.97,-66.29
Reactor DEX,Dexs,Fuel Ignition,97365,434399,874630,107.58,81.93
xExchange,Dexs,MultiversX,96548,960772,5807993,-27.5,-53.64
Tapp Exchange,Dexs,Aptos,95606,635007,3142808,135.92,-65.74
FanX Protocol,Dexs,Chiliz,94865,1017053,5585773,-22.57,-75.75
ShibaSwap V1,Dexs,Ethereum;Shibarium,89301,447364,2239153,20.37,-19.27
Biswap V2,Dexs,BSC,88163,752135,3610617,-53.27,-28.81
Yuzu Finance,Dexs,Movement,87485,946004,6636158,-51.81,-48.47
Satsuma,Dexs,Citrea,83458,723222,4959431,-47.73,-63.43
Dswap,Dexs,ENI,83269,621924,21532790,5.1,-5.38
ThalaSwap,Dexs,Aptos,79717,491914,2831930,4.96,-41.15
InitiaDEX,Dexs,Initia,78825,836062,3540610,-57.55,32.66
Beets DEX V3,Dexs,Sonic,78801,561953,1379399,457.69,67.57
WAGMI,Dexs,ZKsync Era;Fantom;Kava;Ethereum;Metis;Sonic;Base,78618,542692,1880750,284.08,86.03
Nostra Pools,Dexs,Starknet,77778,647891,3515050,-5.21,-55.89
ApeSwap AMM,Dexs,BSC;Polygon;Ethereum;Telos;Arbitrum,76099,362223,1824926,-9.35,2.88
OkieSwap V3,Dexs,X Layer,74731,2413862,3247856,20.59,33.76
iZiSwap,Dexs,BSC;Aurora;ZKsync Era;OntologyEVM;Ultron;Mantle;Meter;Scroll;Linea;Polygon;Arbitrum;Base;Manta;ZetaChain;Mode;IoTeX;Hemi;Monad,73204,314437,2733687,72.46,-28.64
Scopuly,Dexs,Stellar,72712,511082,2981655,-51.8,9.2
Sport.fun,Prediction Market,Base,71857,688062,3356295,27.2,-14.61
Aborean AMM,Dexs,Abstract,70871,539748,3342453,-53.37,-46.92
Ramses Legacy,Dexs,Arbitrum,66892,67462,73702,70312.63,9608.56
PHUX,Dexs,PulseChain,66667,328711,2183324,58.75,78.76
PacaSwap DEX,Dexs,Pacaswap,65951,257470,829332,634.34,41.3
