code,name,bucket,sector
2331,ＡＬＳＯＫ,core,サービス業
2371,カカクコム,core,サービス業
2433,博報堂ＤＹホールディングス,core,サービス業
2531,宝ホールディングス,core,食料品
2579,コカ・コーラ　ボトラーズジャパンホールディングス,core,食料品
2587,サントリービバレッジ＆フード,core,食料品
2593,伊藤園,core,食料品
2607,不二製油,core,食料品
2670,エービーシー・マート,core,小売業
2784,アルフレッサ　ホールディングス,core,卸売業
2809,キユーピー,core,食料品
2810,ハウス食品グループ本社,core,食料品
2811,カゴメ,core,食料品
2875,東洋水産,core,食料品
2897,日清食品ホールディングス,core,食料品
3003,ヒューリック,core,不動産業
3038,神戸物産,core,卸売業
3048,ビックカメラ,core,小売業
3064,ＭｏｎｏｔａＲＯ,core,小売業
3088,マツキヨココカラ＆カンパニー,core,小売業
3105,日清紡ホールディングス,core,電気機器
3107,ダイワボウホールディングス,core,卸売業
3116,トヨタ紡織,core,輸送用機器
3132,マクニカホールディングス,core,卸売業
3197,すかいらーくホールディングス,core,小売業
3231,野村不動産ホールディングス,core,不動産業
3288,オープンハウスグループ,core,不動産業
3291,飯田グループホールディングス,core,不動産業
3349,コスモス薬品,core,小売業
3360,シップヘルスケアホールディングス,core,卸売業
3391,ツルハホールディングス,core,小売業
3397,トリドールホールディングス,core,小売業
3549,クスリのアオキホールディングス,core,小売業
3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,core,小売業
3591,ワコールホールディングス,core,繊維製品
3626,ＴＩＳ,core,情報・通信業
3635,コーエーテクモホールディングス,core,情報・通信業
3769,ＧＭＯペイメントゲートウェイ,core,情報・通信業
3774,インターネットイニシアティブ,core,情報・通信業
3923,ラクス,core,情報・通信業
3941,レンゴー,core,パルプ・紙
3994,マネーフォワード,core,情報・通信業
4045,東亞合成,core,化学
4091,日本酸素ホールディングス,core,化学
4114,日本触媒,core,化学
4118,カネカ,core,化学
417A,ブルーゾーンホールディングス,core,小売業
4182,三菱瓦斯化学,core,化学
4186,東京応化工業,core,化学
4194,ビジョナル,core,情報・通信業
4202,ダイセル,core,化学
4203,住友ベークライト,core,化学
4204,積水化学工業,core,化学
4205,日本ゼオン,core,化学
4206,アイカ工業,core,化学
4272,日本化薬,core,化学
