code,name,bucket,sector,group,surge_ratio,zscore,recent_turnover_yen,baseline_median_yen,share_recent_pct,share_base_pct,share_delta_pp,last_close,pct_window
4188.T,三菱ケミカルグループ,leader,化学,化学,0.872,-0.39,257772950,295671900,0.037,0.042,-0.005,1162.5,-1.57
2503.T,キリンホールディングス,leader,食料品,食料品,0.871,-0.64,406367050,466757750,0.058,0.074,-0.015,2895.0,+0.71
9104.T,商船三井,leader,海運業,海運業,0.869,-0.48,563259200,647999400,0.081,0.106,-0.025,5550.0,+2.87
5344.T,ＭＡＲＵＷＡ,core,ガラス・土石製品,ガラス・土石製品,0.864,-0.25,422583000,488954000,0.061,0.109,-0.048,53970.0,-8.20
6963.T,ローム,leader,電気機器,半導体,0.864,-0.54,1351495900,1564266150,0.194,0.259,-0.064,4487.0,-13.88
9706.T,日本空港ビルデング,core,不動産業,不動産業,0.863,-0.37,78088300,90466850,0.011,0.015,-0.003,5349.0,-1.38
7269.T,スズキ,leader,輸送用機器,輸送用機器,0.862,-0.49,623940400,723529825,0.090,0.111,-0.021,2034.0,-3.14
4755.T,楽天グループ,leader,サービス業,サービス業,0.858,-0.43,548463358,639004896,0.079,0.111,-0.032,793.5,+1.41
5801.T,古河電気工業,hot,電線・光ファイバ,非鉄金属,0.852,-0.51,3503345600,4111517350,0.504,0.686,-0.182,3192.0,-9.14
7012.T,川崎重工業,leader,輸送用機器,輸送用機器,0.851,-0.47,2155386900,2531422675,0.310,0.410,-0.100,2581.5,-10.02
3064.T,ＭｏｎｏｔａＲＯ,core,小売業,小売業,0.851,-0.53,212720000,250046675,0.031,0.042,-0.012,1949.0,-0.10
8282.T,ケーズホールディングス,core,小売業,小売業,0.846,-0.54,49545950,58572175,0.007,0.010,-0.003,1768.0,-4.15
6976.T,太陽誘電,leader,電気機器,電気機器,0.838,-0.57,21758264500,25955874250,3.130,4.083,-0.953,10790.0,-32.14
3994.T,マネーフォワード,core,情報・通信業,情報・通信業,0.837,-0.30,170599500,203861850,0.025,0.039,-0.014,5318.0,+9.47
6841.T,横河電機,leader,電気機器,電気機器,0.834,-0.48,236606900,283683400,0.034,0.045,-0.011,5438.0,-2.19
7261.T,マツダ,leader,輸送用機器,輸送用機器,0.827,-0.60,331679350,401086200,0.048,0.063,-0.016,1128.5,-0.13
6752.T,パナソニックホールディングス,leader,電気機器,電気機器,0.821,-0.52,1948911300,2373402550,0.280,0.397,-0.117,3975.0,-8.39
9744.T,メイテックグループホールディングス,core,サービス業,サービス業,0.821,-0.53,50323200,61327800,0.007,0.010,-0.003,3247.0,+1.28
3397.T,トリドールホールディングス,core,小売業,小売業,0.818,-0.56,52518100,64164400,0.008,0.011,-0.003,4159.0,+4.03
3003.T,ヒューリック,core,不動産業,不動産業,0.815,-0.47,157821450,193734950,0.023,0.031,-0.008,1785.0,-0.56
3391.T,ツルハホールディングス,core,小売業,小売業,0.812,-0.39,229346650,282379900,0.033,0.054,-0.021,2371.0,+3.24
6136.T,オーエスジー,core,機械,機械,0.811,-0.49,118874000,146565450,0.017,0.025,-0.008,3710.0,-2.06
4063.T,信越化学工業,leader,半導体シリコンウェハ・化学,化学,0.810,-0.50,2037843800,2516750850,0.293,0.395,-0.102,7096.0,+0.94
3105.T,日清紡ホールディングス,core,電気機器,電気機器,0.809,-0.47,98976600,122361450,0.014,0.019,-0.005,2171.0,-6.06
4768.T,大塚商会,core,情報・通信業,情報・通信業,0.803,-0.71,150834600,187943800,0.022,0.030,-0.009,3009.0,+2.45
3350.T,(株)メタプラネット,hot,,不明,0.802,-0.44,262043800,326702900,0.038,0.058,-0.020,220.0,-3.08
8174.T,日本瓦斯,core,小売業,小売業,0.800,-0.57,34254700,42826825,0.005,0.007,-0.002,2875.5,-0.78
8570.T,イオンフィナンシャルサービス,core,その他金融業,その他金融業,0.794,-0.37,37929150,47797575,0.005,0.009,-0.003,1518.0,-0.72
